Date,Sales
07-02-2020,88
07-03-2020,84
07-04-2020,85
07-05-2020,85
07-06-2020,84
07-07-2020,85
07-08-2020,83
07-09-2020,85
07-10-2020,88
07-11-2020,89
07-12-2020,91
7/13/2020,99
7/14/2020,104
7/15/2020,112
7/16/2020,126
7/17/2020,138
7/18/2020,146
7/19/2020,151
7/20/2020,150
7/21/2020,148
7/22/2020,147
7/23/2020,149
7/24/2020,143
7/25/2020,132
7/26/2020,131
7/27/2020,139
7/28/2020,147
7/29/2020,150
7/30/2020,148
7/31/2020,145
08-01-2020,140
08-02-2020,134
08-03-2020,131
08-04-2020,131
08-05-2020,129
08-06-2020,126
08-07-2020,126
08-08-2020,132
08-09-2020,137
08-10-2020,140
08-11-2020,142
08-12-2020,150
8/13/2020,159
8/14/2020,167
8/15/2020,170
8/16/2020,171
8/17/2020,172
8/18/2020,172
8/19/2020,174
8/20/2020,175
8/21/2020,172
8/22/2020,172
8/23/2020,174
8/24/2020,174
8/25/2020,169
8/26/2020,165
8/27/2020,156
8/28/2020,142
8/29/2020,131
8/30/2020,121
8/31/2020,112
09-01-2020,104
09-02-2020,102
09-03-2020,99
09-04-2020,99
09-05-2020,95
09-06-2020,88
09-07-2020,84
09-08-2020,84
09-09-2020,87
09-10-2020,89
09-11-2020,88
09-12-2020,85
9/13/2020,86
9/14/2020,89
9/15/2020,91
9/16/2020,91
9/17/2020,94
9/18/2020,101
9/19/2020,110
9/20/2020,121
9/21/2020,135
9/22/2020,145
9/23/2020,149
9/24/2020,156
9/25/2020,165
9/26/2020,171
9/27/2020,175
9/28/2020,177
9/29/2020,182
9/30/2020,193
10-01-2020,204
10-02-2020,208
10-03-2020,210
10-04-2020,215
10-05-2020,222
10-06-2020,228
10-07-2020,226
10-08-2020,222
10-09-2020,220
