EmployeeID,Satisfaction_Score,Department
1,45,Marketing
2,48,Marketing
3,65,Marketing
4,68,Marketing
5,68,Sales
6,10,Marketing
7,84,Marketing
8,22,Sales
9,37,Sales
10,88,Marketing
11,71,Sales
12,89,Sales
13,89,Sales
14,13,Sales
15,59,Marketing
16,66,Marketing
17,40,Sales
18,88,Sales
19,47,Marketing
20,89,Sales
21,82,Marketing
22,38,Marketing
23,26,Marketing
24,78,Marketing
25,73,Sales
26,10,Sales
27,21,Sales
28,81,Marketing
29,70,Sales
30,80,Marketing
31,48,Marketing
32,65,Marketing
33,83,Sales
34,100,Marketing
35,89,Sales
36,50,Sales
37,30,Marketing
38,20,Sales
39,20,Marketing
40,15,Marketing
41,40,Sales
42,33,Sales
43,66,Marketing
44,10,Sales
45,58,Marketing
46,33,Sales
47,32,Marketing
48,75,Sales
49,24,Marketing
50,36,Sales
51,76,Marketing
52,56,Sales
53,29,Sales
54,35,Sales
55,1,Marketing
56,1,Sales
57,37,Marketing
58,54,Sales
59,6,Marketing
60,39,Sales
61,18,Sales
62,80,Sales
63,5,Sales
64,43,Sales
65,59,Marketing
66,32,Sales
67,2,Sales
68,66,Marketing
69,42,Sales
70,58,Sales
71,36,Sales
72,12,Marketing
73,47,Sales
74,83,Sales
75,92,Marketing
76,1,Sales
77,15,Marketing
78,100,Sales
79,54,Sales
80,13,Marketing
81,43,Marketing
82,85,Sales
83,76,Sales
84,69,Sales
85,7,Marketing
86,69,Marketing
87,48,Sales
88,4,Sales
89,77,Sales
90,53,Sales
91,79,Sales
92,16,Marketing
93,21,Sales
94,100,Marketing
95,59,Sales
96,24,Sales
97,80,Sales
98,14,Marketing
99,86,Marketing
100,49,Marketing
